Week,Sales,IF_Anomaly,Z_Anomaly
2015-01-04,304.508,1,False
2015-01-11,4619.108,0,False
2015-01-18,4130.533,0,False
2015-01-25,3092.5440000000003,0,False
2015-02-01,2527.9139999999998,0,False
2015-02-08,968.534,1,False
2015-02-15,2771.054,0,False
2015-02-22,224.912,1,False
2015-03-01,2289.643,0,False
2015-03-08,4030.728,0,False
2015-03-15,4139.602,0,False
2015-03-22,37703.665,1,True
2015-03-29,3998.777,0,False
2015-04-05,10363.902,0,False
2015-04-12,8418.293,0,False
2015-04-19,2198.37,0,False
2015-04-26,5660.104,0,False
2015-05-03,4974.812,0,False
2015-05-10,6332.464,0,False
2015-05-17,3967.87,0,False
2015-05-24,6241.984,0,False
2015-05-31,6523.233,0,False
2015-06-07,8569.948,0,False
2015-06-14,8683.282000000001,0,False
2015-06-21,11139.4446,0,False
2015-06-28,5143.956999999999,0,False
2015-07-05,3158.4,0,False
2015-07-12,6290.629,0,False
2015-07-19,1387.686,1,False
2015-07-26,21590.079999999998,0,True
2015-08-02,3255.66,0,False
2015-08-09,13454.076000000001,0,False
2015-08-16,3187.942,0,False
2015-08-23,4366.4980000000005,0,False
2015-08-30,4901.8925,0,False
2015-09-06,4234.85,0,False
2015-09-13,29959.137,1,False
2015-09-20,20685.832000000002,0,False
2015-09-27,17249.3338,0,False
2015-10-04,11781.179,0,False
2015-10-11,4751.272,0,False
2015-10-18,10468.226,0,False
2015-10-25,3882.9900000000002,0,False
2015-11-01,14794.436,0,False
2015-11-08,14934.875,0,False
2015-11-15,15130.8292,0,False
2015-11-22,26793.6235,0,False
2015-11-29,16191.363,0,False
2015-12-06,13185.832,0,False
2015-12-13,8971.0645,0,False
2015-12-20,23416.453,0,False
2015-12-27,10632.52,0,False
2016-01-03,15880.6606,0,False
2016-01-10,1973.444,0,False
2016-01-17,1720.158,0,False
2016-01-24,358.522,1,False
2016-01-31,10314.516,0,False
2016-02-07,3249.49,0,False
2016-02-14,2071.846,0,False
2016-02-21,4776.534,0,False
2016-02-28,1853.5410000000002,0,False
2016-03-06,6066.2554,0,False
2016-03-13,5375.648,0,False
2016-03-20,13310.136,0,False
2016-03-27,5012.915,0,False
2016-04-03,2873.5840000000003,0,False
2016-04-10,6433.63,0,False
2016-04-17,11463.31,0,False
2016-04-24,4603.642,0,False
2016-05-01,11805.6065,0,False
2016-05-08,7774.9439999999995,0,False
2016-05-15,4905.0615,0,False
2016-05-22,4418.17,0,False
2016-05-29,6551.177,0,False
2016-06-05,9418.944,0,False
2016-06-12,4550.428,0,False
2016-06-19,7687.451000000001,0,False
2016-06-26,6242.707,0,False
